stage,kind,query,reason,url_or_doi,date
05实施控制,paper,"""earned value management"" project control",title_abstract_not_on_topic,10.1038/s41598-024-66232-5,2026-08-16
05实施控制,paper,"""earned value management"" project control",title_abstract_not_on_topic,10.55248/gengpi.6.0325.1295,2026-08-16
05实施控制,paper,"""earned value management"" project control",title_abstract_not_on_topic,10.1108/sasbe-12-2023-0379,2026-08-16
05实施控制,paper,"""earned value management"" project control",title_abstract_not_on_topic,10.36680/j.itcon.2024.053,2026-08-16
05实施控制,paper,"""earned value management"" project control",title_abstract_not_on_topic,10.1016/j.jenvman.2024.121986,2026-08-16
05实施控制,paper,"""earned value management"" project control",title_abstract_not_on_topic,10.52783/tjjpt.v45.i04.8136,2026-08-16
05实施控制,paper,"""earned value management"" project control",title_abstract_not_on_topic,10.20944/preprints202401.2033.v1,2026-08-16
05实施控制,paper,"""earned value management"" project control",title_abstract_not_on_topic,10.1109/mcse.2024.3384937,2026-08-16
05实施控制,paper,"""earned value management"" project control",title_abstract_not_on_topic,10.62225/2583049x.2025.5.2.4144,2026-08-16
05实施控制,paper,"""earned value management"" project control",title_abstract_not_on_topic,10.62225/2583049x.2025.5.4.4763,2026-08-16
05实施控制,paper,"""earned value management"" project control",title_abstract_not_on_topic,10.54660/.ijmrge.2024.5.3.1084-1099,2026-08-16
05实施控制,paper,"""earned value management"" project control",title_abstract_not_on_topic,10.36948/ijfmr.2025.v07i01.37332,2026-08-16
05实施控制,paper,"""earned value management"" project control",title_abstract_not_on_topic,10.1016/j.dibe.2024.100524,2026-08-16
05实施控制,paper,"""earned value management"" project control",title_abstract_not_on_topic,10.54660/ijsser.2024.3.1.251-271,2026-08-16
05实施控制,paper,"""earned value management"" project control",title_abstract_not_on_topic,10.21744/irjeis.v11n1.2493,2026-08-16
05实施控制,paper,"""earned value management"" project control",title_abstract_not_on_topic,10.3390/buildings14113668,2026-08-16
05实施控制,paper,"""earned value management"" project control",title_abstract_not_on_topic,10.26437/ajar.v11i1.825,2026-08-16
05实施控制,paper,"""earned value management"" project control",title_abstract_not_on_topic,10.3390/buildings16051061,2026-08-16
05实施控制,paper,"""earned value management"" project control",title_abstract_not_on_topic,10.32628/ijsrst23121167,2026-08-16
05实施控制,paper,"""earned value management"" project control",title_abstract_not_on_topic,10.51594/gjabr.v3i4.130,2026-08-16
05实施控制,paper,"""earned value management"" project control",title_abstract_not_on_topic,10.48550/arxiv.2311.06995,2026-08-16
05实施控制,paper,"""earned value management"" project control",title_abstract_not_on_topic,10.59188/devotion.v6i1.25403,2026-08-16
05实施控制,paper,"""earned value management"" project control",title_abstract_not_on_topic,10.3390/en19020299,2026-08-16
05实施控制,paper,"""earned value management"" project control",title_abstract_not_on_topic,10.20944/preprints202505.1390.v1,2026-08-16
05实施控制,paper,"""earned schedule"" project monitoring",title_abstract_not_on_topic,10.1080/00207543.2024.2359044,2026-08-16
05实施控制,paper,"""earned schedule"" project monitoring",title_abstract_not_on_topic,10.3390/computers14020066,2026-08-16
05实施控制,paper,"""earned schedule"" project monitoring",title_abstract_not_on_topic,10.3390/buildings15020160,2026-08-16
05实施控制,paper,"""earned schedule"" project monitoring",title_abstract_not_on_topic,10.2139/ssrn.5384983,2026-08-16
05实施控制,paper,"""earned schedule"" project monitoring",title_abstract_not_on_topic,10.2139/ssrn.5379939,2026-08-16
05实施控制,paper,"""earned schedule"" project monitoring",title_abstract_not_on_topic,10.1016/j.heliyon.2024.e26888,2026-08-16
05实施控制,paper,"""earned schedule"" project monitoring",title_abstract_not_on_topic,Development and application of an innovative planning and monitoring tool to optimize construction projects,2026-08-16
05实施控制,paper,"""earned schedule"" project monitoring",title_abstract_not_on_topic,10.1108/sasbe-12-2023-0379,2026-08-16
05实施控制,paper,"""earned schedule"" project monitoring",title_abstract_not_on_topic,Bayesian-Monte Carlo Schedule Updating for Construction Digital Twins: A Probabilistic Framework for Dynamic Project Forecasting,2026-08-16
05实施控制,paper,"""earned schedule"" project monitoring",title_abstract_not_on_topic,10.1177/87569728241245648,2026-08-16
05实施控制,paper,"""earned schedule"" project monitoring",title_abstract_not_on_topic,10.1080/13467581.2025.2505793,2026-08-16
05实施控制,paper,"""earned schedule"" project monitoring",title_abstract_not_on_topic,10.15446/dyna.v90n228.108642,2026-08-16
05实施控制,paper,"""earned schedule"" project monitoring",title_abstract_not_on_topic,10.3390/buildings15224168,2026-08-16
05实施控制,paper,"""earned schedule"" project monitoring",title_abstract_not_on_topic,10.29173/mocs315,2026-08-16
05实施控制,paper,"""earned schedule"" project monitoring",title_abstract_not_on_topic,10.59188/devotion.v6i1.25403,2026-08-16
05实施控制,paper,"""earned schedule"" project monitoring",title_abstract_not_on_topic,10.1016/j.ejor.2025.03.012,2026-08-16
05实施控制,paper,"""earned schedule"" project monitoring",title_abstract_not_on_topic,10.3390/app16010207,2026-08-16
05实施控制,paper,"""earned schedule"" project monitoring",title_abstract_not_on_topic,10.3390/buildings15203739,2026-08-16
05实施控制,paper,"""earned schedule"" project monitoring",title_abstract_not_on_topic,10.1080/13467581.2025.2513064,2026-08-16
05实施控制,paper,"""earned schedule"" project monitoring",title_abstract_not_on_topic,10.1007/s10479-026-07252-4,2026-08-16
05实施控制,paper,"""earned schedule"" project monitoring",title_abstract_not_on_topic,10.35629/076x-11122036,2026-08-16
05实施控制,paper,"""earned schedule"" project monitoring",title_abstract_not_on_topic,Gestión del desempeño en proyectos de construcción: una revisión sistemática de la literatura,2026-08-16
05实施控制,paper,"""earned schedule"" project monitoring",title_abstract_not_on_topic,10.55562/kjfg7c17,2026-08-16
05实施控制,paper,"""earned schedule"" project monitoring",title_abstract_not_on_topic,10.21203/rs.3.rs-10025812/v1,2026-08-16
05实施控制,paper,"""earned schedule"" project monitoring",title_abstract_not_on_topic,10.56726/irjmets98789,2026-08-16
05实施控制,paper,"""earned schedule"" project monitoring",title_abstract_not_on_topic,10.22214/ijraset.2026.84506,2026-08-16
05实施控制,paper,"""project change control"" baseline",title_abstract_not_on_topic,10.51244/ijrsi.2026.1307000043,2026-08-16
05实施控制,paper,"""integrated change control"" project",title_abstract_not_on_topic,10.4186/ej.2024.28.8.79,2026-08-16
05实施控制,paper,"""integrated change control"" project",title_abstract_not_on_topic,10.1016/j.heliyon.2023.e19697,2026-08-16
05实施控制,paper,"""integrated change control"" project",title_abstract_not_on_topic,10.12821/ijispm120404,2026-08-16
05实施控制,paper,"""integrated change control"" project",title_abstract_not_on_topic,10.48084/etasr.14111,2026-08-16
05实施控制,paper,"""integrated change control"" project",title_abstract_not_on_topic,10.34306/ajri.v6i1.1100,2026-08-16
05实施控制,paper,"""integrated change control"" project",title_abstract_not_on_topic,10.7862/rz.2024.mmr.05,2026-08-16
05实施控制,paper,"""integrated change control"" project",title_abstract_not_on_topic,10.13167/2025.30.5,2026-08-16
05实施控制,paper,"""integrated change control"" project",title_abstract_not_on_topic,10.15587/1729-4061.2024.303526,2026-08-16
05实施控制,paper,"""integrated change control"" project",title_abstract_not_on_topic,10.47738/jads.v6i1.473,2026-08-16
05实施控制,paper,"""integrated change control"" project",title_abstract_not_on_topic,10.21608/astj.2025.345552.1030,2026-08-16
05实施控制,paper,"""integrated change control"" project",title_abstract_not_on_topic,10.37676/ekombis.v13i3.7335,2026-08-16
05实施控制,paper,"""integrated change control"" project",title_abstract_not_on_topic,10.2139/ssrn.5408884,2026-08-16
05实施控制,paper,"""integrated change control"" project",title_abstract_not_on_topic,10.65136/ejbm.v9i1.60,2026-08-16
05实施控制,paper,"""integrated change control"" project",title_abstract_not_on_topic,10.47672/ijpm.2606,2026-08-16
05实施控制,paper,"""integrated change control"" project",title_abstract_not_on_topic,10.47205/plhr.2023(7-iii)57,2026-08-16
