stage,kind,query,reason,url_or_doi,date
07预算,paper,project cost contingency reserve risk,fulltext_off_topic_or_not_selected,10.2172/2371533,2026-08-16
07预算,paper,"""expert judgment"" effort estimation software",fulltext_off_topic_or_not_selected,10.1038/s41598-025-10819-z,2026-08-16
07预算,paper,project cost contingency reserve risk,fulltext_off_topic_or_not_selected,10.1007/s42489-023-00145-7,2026-08-16
07预算,paper,project cost contingency reserve risk,fulltext_off_topic_or_not_selected,10.32996/jefas.2024.6.6.2,2026-08-16
07预算,paper,"""expert judgment"" effort estimation software",fulltext_off_topic_or_not_selected,10.5194/amt-17-1633-2024,2026-08-16
07预算,paper,"""planning fallacy"" project cost overrun",fulltext_off_topic_or_not_selected,10.26480/gwk.01.2024.42.50,2026-08-16
07预算,paper,"""expert judgment"" effort estimation software",fulltext_off_topic_or_not_selected,10.51594/gjabr.v3i11.171,2026-08-16
07预算,paper,project cost contingency reserve risk,fulltext_off_topic_or_not_selected,10.30574/gscarr.2024.19.3.0205,2026-08-16
07预算,paper,"""expert judgment"" effort estimation software",fulltext_off_topic_or_not_selected,10.1007/s10664-025-10645-x,2026-08-16
07预算,paper,"""expert judgment"" effort estimation software",fulltext_off_topic_or_not_selected,10.1007/s10758-025-09844-8,2026-08-16
07预算,paper,"""expert judgment"" effort estimation software",fulltext_off_topic_or_not_selected,10.1007/s00445-025-01822-3,2026-08-16
07预算,paper,project cost contingency reserve risk,fulltext_off_topic_or_not_selected,10.53022/oarjms.2024.7.2.0037,2026-08-16
07预算,paper,"""expert judgment"" effort estimation software",fulltext_off_topic_or_not_selected,10.14569/ijacsa.2025.01603103,2026-08-16
07预算,paper,"""expert judgment"" effort estimation software",fulltext_off_topic_or_not_selected,10.5194/nhess-24-1779-2024,2026-08-16
07预算,paper,"""expert judgment"" effort estimation software",fulltext_off_topic_or_not_selected,10.5194/hess-28-2831-2024,2026-08-16
07预算,paper,"""expert judgment"" effort estimation software",fulltext_off_topic_or_not_selected,10.1139/cjce-2022-0310,2026-08-16
07预算,paper,"""expert judgment"" effort estimation software",fulltext_off_topic_or_not_selected,10.21015/vtse.v12i3.1909,2026-08-16
07预算,paper,"""expert judgment"" effort estimation software",fulltext_off_topic_or_not_selected,10.58962/hsr.2025.11.2.6-21,2026-08-16
07预算,paper,"""contingency reserve"" project cost",fulltext_off_topic_or_not_selected,10.1038/s41467-025-62952-y,2026-08-16
07预算,paper,"""optimism bias"" project cost estimation",fulltext_off_topic_or_not_selected,10.4102/sajim.v26i1.1804,2026-08-16
07预算,paper,"""optimism bias"" project cost estimation",fulltext_off_topic_or_not_selected,10.1007/s10706-023-02627-x,2026-08-16
07预算,paper,"""cost contingency"" project estimation",fulltext_off_topic_or_not_selected,10.48084/etasr.8116,2026-08-16
07预算,paper,"""cost contingency"" project estimation",fulltext_off_topic_or_not_selected,10.58496/mjce/2024/009,2026-08-16
07预算,paper,reference class forecasting,older_than_2023-08,10.3390/buildings13040998,2026-08-16
07预算,blog,existing_blogs.json,paper_or_classic_not_counted_as_blog,07-B14;07-B21;07-B22;07-B24,2026-08-16
07预算,blog,reference class forecasting project cost overrun,paywall_or_index_page,https://www.sciencedirect.com/science/article/pii/S2666721523000248,2026-08-16
07预算,paper,"""software effort estimation"" systematic review",title_abstract_not_on_topic,10.1007/s11831-023-10030-1,2026-08-16
07预算,paper,"""software effort estimation"" systematic review",title_abstract_not_on_topic,10.3390/digital4030028,2026-08-16
07预算,paper,"""software effort estimation"" systematic review",title_abstract_not_on_topic,10.3390/brainsci15050519,2026-08-16
07预算,paper,"""software effort estimation"" systematic review",title_abstract_not_on_topic,10.48550/arxiv.2409.06741,2026-08-16
07预算,paper,"""software effort estimation"" systematic review",title_abstract_not_on_topic,10.20473/jisebi.9.2.305-319,2026-08-16
07预算,paper,"""software effort estimation"" systematic review",title_abstract_not_on_topic,10.3390/app14010319,2026-08-16
07预算,paper,"""software effort estimation"" systematic review",title_abstract_not_on_topic,10.1007/s10951-025-00857-w,2026-08-16
07预算,paper,"""software effort estimation"" systematic review",title_abstract_not_on_topic,10.21203/rs.3.rs-3209115/v1,2026-08-16
07预算,paper,"""software effort estimation"" systematic review",title_abstract_not_on_topic,10.3390/info15080507,2026-08-16
07预算,paper,"""software effort estimation"" systematic review",title_abstract_not_on_topic,10.35631/jistm.1041026,2026-08-16
07预算,paper,"""software effort estimation"" systematic review",title_abstract_not_on_topic,10.4236/ojbm.2024.126189,2026-08-16
07预算,paper,"""software effort estimation"" systematic review",title_abstract_not_on_topic,10.1007/s11301-024-00424-1,2026-08-16
07预算,paper,"""software effort estimation"" systematic review",title_abstract_not_on_topic,10.34028/iajit/22/5/4,2026-08-16
