source_id,stage,kind,doi,norm_url,title_norm,year,status
04-P01,04计划,paper,10.48084/etasr.7023,https://doi.org/10.48084/etasr.7023,assessing the influence of various work breakdown structures on project completion time,2024,fulltext
04-P02,04计划,paper,10.2478/emj-2024-0023,https://doi.org/10.2478/emj-2024-0023,determining a fuzzy model of time buffer size in critical chain project management,2024,fulltext
04-P03,04计划,paper,10.24076/intechnojournal.2025v7i1.2019,https://doi.org/10.24076/intechnojournal.2025v7i1.2019,comparative analysis of live action film production management using critical path method cpm versus conventional production processes,2025,fulltext
04-P04,04计划,paper,10.58631/jtus.v3i7.174,https://doi.org/10.58631/jtus.v3i7.174,development of standard operating procedures sop for architectural work of subsidized housing based on work breakdown structure wbs to improve quality performance,2025,fulltext
04-P05,04计划,paper,10.37547/tajmei/volume07issue08-08,https://doi.org/10.37547/tajmei/volume07issue08-08,features of implementing a work breakdown structure in multidisciplinary projects,2025,fulltext
04-P06,04计划,paper,10.60164/3xymkr1ws,https://doi.org/10.60164/3xymkr1ws,synthesizing last planner system takt and scrum theory and practice to enhance construction project delivery,2024,fulltext
04-P07,04计划,paper,10.65303/journalpmresearch.v1i2.35,https://doi.org/10.65303/journalpmresearch.v1i2.35,cost analysis of the construction safety management system smkk based on work breakdown structure wbs in an irrigation project,2025,fulltext
04-P08,04计划,paper,10.53819/81018102t2309,http://dx.doi.org/10.53819/81018102t2309,influence of planning tools on the performance of a disaster management project in rwanda a case of strengthening national and local disaster risk management capacity resilience and enhancing preparedness and early warning system project in musanze district,2024,fulltext
04-P09,04计划,paper,10.59188/eduvest.v5i3.1754,https://doi.org/10.59188/eduvest.v5i3.1754,analysis of the critical chain project management ccpm method bim 3d and last planner system on contractor performance and high rise building project duration,2025,fulltext
04-P10,04计划,paper,10.21070/acopen.11.2026.13832,https://doi.org/10.21070/acopen.11.2026.13832,project sponsorship in recovering delayed projects a case study from korek telecom,2026,fulltext
04-P11,04计划,paper,10.5267/j.jpm.2024.9.003,https://doi.org/10.5267/j.jpm.2024.9.003,evaluating the impact of scope time cost and quality management on project performance and business overall performance in jordanian financial sector ,2024,fulltext
04-P12,04计划,paper,10.4236/jbcpr.2025.133004,https://doi.org/10.4236/jbcpr.2025.133004,factors affecting implementation of earned value management evm in construction projects,2025,fulltext
04-P13,04计划,paper,10.3991/ijep.v13i6.39199,http://dx.doi.org/10.3991/ijep.v13i6.39199,nature of project management found in nature,2023,fulltext
04-P14,04计划,paper,10.56726/irjmets46092,http://doi.org/10.56726/irjmets46092,planning and scheduling of multistoried building construction by project management tool primavera p6,2023,fulltext
04-P15,04计划,paper,10.15294/jone.v10i2.13427,https://doi.org/10.15294/jone.v10i2.13427,analysis of methods and approaches in project management in nonformal education in indonesia,2024,fulltext
04-P16,04计划,paper,10.56211/factory.v4i2.1382,https://doi.org/10.56211/factory.v4i2.1382,indentifikasi jalur kritis pada proses pemindahan sarana produksi krimer retail dengan metode cpm pada pt x,2026,fulltext
04-P17,04计划,paper,10.24912/jiksi.v13i1.32858,https://doi.org/10.24912/jiksi.v13i1.32858,manajemen proyek perancangan sistem informasi untuk penjualan alat kesehatan,2025,fulltext
04-P18,04计划,paper,10.30656/intech.v11i2.110526,https://doi.org/10.30656/intech.v11i2.110526,optimizing concrete mattress fabrication through lean project management a value stream mapping approach to lead time reduction,2025,fulltext
