source_id,stage,kind,doi,norm_url,title_norm,year,status
05-P01,05实施控制,paper,10.1038/s41598-025-05834-z,https://doi.org/10.1038/s41598-025-05834-z,comparative analysis of earned value management techniques in construction projects,2025,fulltext
05-P02,05实施控制,paper,10.1287/mnsc.2024.08306,https://doi.org/10.1287/mnsc.2024.08306,experimenting under stochastic congestion,2026,fulltext
05-P03,05实施控制,paper,10.1007/s10479-025-06668-8,https://doi.org/10.1007/s10479-025-06668-8,schedule risk analysis for project control with risk interactions,2025,fulltext
05-P04,05实施控制,paper,10.14569/ijacsa.2024.0150697,https://doi.org/10.14569/ijacsa.2024.0150697,identification of the main traditional project management methods through a systematic literature review,2024,fulltext
05-P05,05实施控制,paper,10.32388/e0op3j,https://doi.org/10.32388/e0op3j,enhancing project performance forecasting using machine learning techniques,2024,fulltext
05-P06,05实施控制,paper,10.37610/dyo.v0i82.662,https://doi.org/10.37610/dyo.v0i82.662,anlisis cuantitativo de riesgos utilizando mcsimulrisk como herramienta didctica,2024,fulltext
05-P07,05实施控制,paper,10.48550/arxiv.2310.17165,http://arxiv.org/abs/2310.17165,price experimentation and interference,2023,fulltext
05-P08,05实施控制,paper,10.53898/josse2023323,https://doi.org/10.53898/josse2023323,mitigating time and cost overruns in construction projects a questionnaire study on integrating earned value management and risk management,2023,fulltext
05-P09,05实施控制,paper,10.4236/jbcpr.2025.133004,https://doi.org/10.4236/jbcpr.2025.133004,factors affecting implementation of earned value management evm in construction projects,2025,fulltext
05-P10,05实施控制,paper,10.1007/s44290-025-00193-0,https://doi.org/10.1007/s44290-025-00193-0,performance evaluation of construction project by earned value management system in amhara waterworks construction enterprise,2025,fulltext
05-P11,05实施控制,paper,10.36680/j.itcon.2025.031,https://doi.org/10.36680/j.itcon.2025.031,realcons a digital framework for construction reporting accuracy and early delay detection,2025,fulltext
05-P12,05实施控制,paper,10.48084/etasr.6666,https://doi.org/10.48084/etasr.6666,a system dynamics approach to feedback processes in project scheduling,2024,fulltext
05-P13,05实施控制,paper,10.48550/arxiv.2406.06768,http://arxiv.org/abs/2406.06768,datadriven switchback experiments theoretical tradeoffs and empirical bayes designs,2024,fulltext
05-P14,05实施控制,paper,10.46799/ajesh.v2i12.206,http://dx.doi.org/10.46799/ajesh.v2i12.206,cost and time analysis using earned value method construction of upbjj building open university of surabaya phase ii,2023,fulltext
05-P15,05实施控制,paper,10.48550/arxiv.2308.09790,http://arxiv.org/abs/2308.09790,a twopart machine learning approach to characterizing network interference in ab testing,2023,fulltext
05-P16,05实施控制,paper,10.3389/fbuil.2026.1840012,https://doi.org/10.3389/fbuil.2026.1840012,institutional gatekeeping and change order prevention in public infrastructure projects evidence from a governance reform in jordan,2026,fulltext
05-P17,05实施控制,paper,10.1371/journal.pone.0312956,https://doi.org/10.1371/journal.pone.0312956,incorporating earned value management into income statements to improve project management profitability and elevate application in the business and management,2025,fulltext
