source_id,stage,kind,doi,norm_url,title_norm,year,status
07-P01,07预算,paper,10.1109/access.2024.3404879,https://doi.org/10.1109/access.2024.3404879,review and empirical analysis of machine learningbased software effort estimation,2024,fulltext_selected
07-P05,07预算,paper,10.1038/s41598-024-63025-8,https://doi.org/10.1038/s41598-024-63025-8,software cost estimation predication using a convolutional neural network and particle swarm optimization algorithm,2024,fulltext_selected
07-P08,07预算,paper,10.1371/journal.pone.0300296,https://doi.org/10.1371/journal.pone.0300296,ensemble effort estimation with metaheuristic hyperparameters and weight optimization for achieving accuracy,2024,fulltext_selected
07-P10,07预算,paper,10.1109/access.2024.3399060,https://doi.org/10.1109/access.2024.3399060,enhancing software effort estimation with selforganizing migration algorithm a comparative analysis of cocomo models,2024,fulltext_selected
07-P13,07预算,paper,10.12694/scpe.v25i2.2213,https://doi.org/10.12694/scpe.v25i2.2213,software effort estimation using machine learning algorithms,2024,fulltext_selected
07-P15,07预算,paper,10.1038/s41598-024-67197-1,https://doi.org/10.1038/s41598-024-67197-1,multikernel support vector regression with improved mothflame optimization algorithm for software effort estimation,2024,fulltext_selected
07-P19,07预算,paper,10.32604/cmc.2024.057979,https://doi.org/10.32604/cmc.2024.057979,enhancing software cost estimation using feature selection and machine learning techniques,2024,fulltext_selected
07-P22,07预算,paper,10.23917/khif.v10i1.2803,https://doi.org/10.23917/khif.v10i1.2803,the implementation of machine learning for software effort estimation a literature review,2024,fulltext_selected
07-P23,07预算,paper,10.1038/s41598-025-14372-7,https://doi.org/10.1038/s41598-025-14372-7,enhancing software effort estimation with random forest tuning and adaptive decision strategies,2025,fulltext_selected
07-P25,07预算,paper,10.22266/ijies2023.1031.09,https://doi.org/10.22266/ijies2023.1031.09,implementation of cosmic function points cfp as primary input to cocomo ii study of conversion to line of code using regression and support vector regression models,2023,fulltext_selected
07-P26,07预算,paper,10.11591/eei.v13i2.5531,https://doi.org/10.11591/eei.v13i2.5531,feature importance for software development effort estimation using multi level ensemble approaches,2024,fulltext_selected
07-P27,07预算,paper,10.1108/ijmpb-07-2024-0162,https://doi.org/10.1108/ijmpb-07-2024-0162,understanding project cost contingency estimation a holistic risk perspective,2025,fulltext_selected
07-P28,07预算,paper,10.1142/s021819402350064x,https://doi.org/10.1142/s021819402350064x,agile effort estimation comparing the accuracy and efficiency of planning poker bucket system and affinity estimation methods,2023,fulltext_selected
07-P30,07预算,paper,10.1061/jcemd4.coeng-13411,https://doi.org/10.1061/jcemd4.coeng-13411,the cost drivers of infrastructure projects definition classification and conceptualization,2023,fulltext_selected
07-P31,07预算,paper,10.21928/uhdjst.v8n1y2024.pp42-54,https://doi.org/10.21928/uhdjst.v8n1y2024.pp42-54,a new approach for software cost estimation with a hybrid tabu search and invasive weed optimization algorithms,2024,fulltext_selected
07-P32,07预算,paper,10.48550/arxiv.2403.16749,http://arxiv.org/abs/2403.16749,enhancing software effort estimation through reinforcement learningbased project managementoriented feature selection,2024,fulltext_selected
07-P35,07预算,paper,10.1007/s11219-025-09731-6,https://doi.org/10.1007/s11219-025-09731-6,improving story points estimation using ensemble machine learning,2025,fulltext_selected
07-P36,07预算,paper,10.3897/jucs.110051,http://dx.doi.org/10.3897/jucs.110051,recommendation of machine learning techniques for software effort estimation using multicriteria decision making,2024,fulltext_selected
07-P37,07预算,paper,10.3846/jcem.2025.24913,https://doi.org/10.3846/jcem.2025.24913,prediction of cost contingency in construction projects by introducing machine learning algorithms,2025,fulltext_selected
07-P42,07预算,paper,10.1371/journal.pone.0314665,https://doi.org/10.1371/journal.pone.0314665,critical factors influencing cost estimators judgements on cost contingencies in highway construction projects an empirical study in the uk,2024,fulltext_selected
07-P44,07预算,paper,10.48550/arxiv.2408.07710,http://arxiv.org/pdf/2408.07710,uniqueness bias why it matters how to curb it,2024,fulltext_selected
07-P45,07预算,paper,10.48550/arxiv.2405.01569,http://arxiv.org/abs/2405.01569,a systematic literature review on reasons and approaches for accurate effort estimations in agile,2024,fulltext_selected
07-P46,07预算,paper,10.33480/jitk.v10i2.5597,http://dx.doi.org/10.33480/jitk.v10i2.5597,exploring agile effort estimation issues a systematic literature review,2024,fulltext_selected
07-P47,07预算,paper,10.3389/frai.2026.1772418,https://doi.org/10.3389/frai.2026.1772418,toward llmaware software effort estimation a conceptual framework,2026,fulltext_selected
07-P48,07预算,paper,10.22399/ijcesen.2559,https://doi.org/10.22399/ijcesen.2559,a novel catboost regressor for effort estimation in scrum projects,2025,fulltext_selected
07-P49,07预算,paper,10.17485/ijst/v16i33.1534,http://dx.doi.org/10.17485/ijst/v16i33.1534,use of fibonacci sequence in project estimation,2023,fulltext_selected
07-P50,07预算,paper,10.20944/preprints202403.0437.v1,https://doi.org/10.20944/preprints202403.0437.v1,software effort estimation using ensemble learning,2024,fulltext_selected
07-P51,07预算,paper,10.32604/cmc.2023.046648,https://doi.org/10.32604/cmc.2023.046648,a hybrid model for improving software cost estimation in global software development,2023,fulltext_selected
07-P52,07预算,paper,10.21203/rs.3.rs-10385386/v1,https://doi.org/10.21203/rs.3.rs-10385386/v1,ai maturity as a doubleedged capability planning fallacy and firm performance in technology startups,2026,fulltext_selected
07-P53,07预算,paper,10.15587/1729-4061.2025.330351,https://doi.org/10.15587/1729-4061.2025.330351,development of contingency cost analysis model in construction project with costtimequality risk integration,2025,fulltext_selected
